1106144.04   -6273254.60   -111189.28   AAAA108
1106270.41   -6273971.29    -55596.76   AAAA109
 665935.17   -3593064.63   -5218817.67   AAAA110
 674209.22   -3637707.41   -5186729.97   AAAA111
 682431.92   -3682073.16   -5154247.27   AAAA112
 690602.66   -3726158.50   -5121372.06   AAAA113
 698720.80   -3769960.09   -5088106.83   AAAA114
 706785.74   -3813474.58   -5054454.13   AAAA115
 714796.85   -3856698.66   -5020416.51   AAAA116
 722753.52   -3899629.03   -4985996.57   AAAA117
 730655.15   -3942262.43   -4951196.92   AAAA118
 738501.15   -3984595.62   -4916020.22   AAAA119
 746290.90   -4026625.36   -4880469.15   AAAA120
 754023.82   -4068348.46   -4844546.41   AAAA121
 761699.32   -4109761.74   -4808254.74   AAAA122
 769316.81   -4150862.04   -4771596.90   AAAA123
 776875.71   -4191646.24   -4734575.68   AAAA124
 784375.45   -4232111.23   -4697193.91   AAAA125
 791815.46   -4272253.93   -4659454.43   AAAA126
 799195.17   -4312071.28   -4621360.12   AAAA127
 806514.02   -4351560.25   -4582913.87   AAAA128
 813771.45   -4390717.83   -4544118.61   AAAA129
 820966.91   -4429541.04   -4504977.30   AAAA130
 828099.84   -4468026.93   -4465492.92   AAAA131
 835169.72   -4506172.55   -4425668.48   AAAA132
 842175.99   -4543975.02   -4385507.00   AAAA133
 849118.13   -4581431.44   -4345011.55   AAAA134
 855995.60   -4618538.97   -4304185.21   AAAA135
 862807.89   -4655294.78   -4263031.09   AAAA136
 869554.47   -4691696.07   -4221552.33   AAAA137
 876234.83   -4727740.07   -4179752.07   AAAA138
 882848.46   -4763424.03   -4137633.52   AAAA139
 889394.86   -4798745.24   -4095199.86   AAAA140
 895873.53   -4833701.01   -4052454.34   AAAA141
 902283.97   -4868288.67   -4009400.21   AAAA142
 908625.70   -4902505.59   -3966040.75   AAAA143
 914898.24   -4936349.17   -3922379.26   AAAA144
 921101.10   -4969816.83   -3878419.06   AAAA145
 927233.82   -5002906.02   -3834163.51   AAAA146
 933295.93   -5035614.21   -3789615.97   AAAA147
 939286.96   -5067938.92   -3744779.84   AAAA148
 945206.46   -5099877.69   -3699658.53   AAAA149
 951053.98   -5131428.09   -3654255.48   AAAA150
 956829.07   -5162587.71   -3608574.14   AAAA151
 962531.30   -5193354.17   -3562617.99   AAAA152
 968160.23   -5223725.14   -3516390.53   AAAA153
 973715.43   -5253698.31   -3469895.29   AAAA154
 979196.47   -5283271.39   -3423135.80   AAAA155
 984602.95   -5312442.12   -3376115.63   AAAA156
 989934.44   -5341208.29   -3328838.36   AAAA157
 995190.55   -5369567.71   -3281307.58   AAAA158
1000370.87   -5397518.21   -3233526.91   AAAA159
1005475.01   -5425057.67   -3185500.00   AAAA160
1010502.57   -5452184.00   -3137230.50   AAAA161
1015453.19   -5478895.11   -3088722.09   AAAA162
1020326.47   -5505188.99   -3039978.46   AAAA163
1025122.05   -5531063.63   -2991003.33   AAAA164
1029839.56   -5556517.06   -2941800.41   AAAA165
1034478.65   -5581547.33   -2892373.47   AAAA166
1039038.96   -5606152.55   -2842726.27   AAAA167
1043520.14   -5630330.84   -2792862.58   AAAA168
1047921.85   -5654080.36   -2742786.20   AAAA169
1052243.76   -5677399.29   -2692500.95   AAAA170
1056485.54   -5700285.87   -2642010.65   AAAA171
1060646.86   -5722738.36   -2591319.15   AAAA172
1064727.41   -5744755.03   -2540430.32   AAAA173
1068726.88   -5766334.22   -2489348.02   AAAA174
1072644.95   -5787474.28   -2438076.15   AAAA175
1076481.35   -5808173.60   -2386618.61   AAAA176
1080235.76   -5828430.60   -2334979.32   AAAA177
1083907.91   -5848243.75   -2283162.21   AAAA178
1087497.52   -5867611.53   -2231171.23   AAAA179
1091004.31   -5886532.47   -2179010.33   AAAA180
1094428.01   -5905005.13   -2126683.50   AAAA181
1097768.37   -5923028.10   -2074194.71   AAAA182
1101025.13   -5940600.01   -2021547.97   AAAA183
1104198.05   -5957719.52   -1968747.27   AAAA184
1107286.87   -5974385.32   -1915796.65   AAAA185
1110291.37   -5990596.16   -1862700.13   AAAA186
1113211.32   -6006350.78   -1809461.76   AAAA187
1116046.49   -6021648.00   -1756085.59   AAAA188
1118796.67   -6036486.65   -1702575.69   AAAA189
1121461.65   -6050865.59   -1648936.14   AAAA190
1124041.23   -6064783.74   -1595171.01   AAAA191
1126535.20   -6078240.03   -1541284.40   AAAA192
1128943.39   -6091233.44   -1487280.41   AAAA193
1131265.60   -6103762.98   -1433163.17   AAAA194
1133501.66   -6115827.69   -1378936.78   AAAA195
1135651.40   -6127426.66   -1324605.38   AAAA196
1137714.66   -6138559.00   -1270173.11   AAAA197
1139691.28   -6149223.87   -1215644.11   AAAA198
1141581.10   -6159420.45   -1161022.53   AAAA199
1143383.99   -6169147.96   -1106312.54   AAAA200
1145099.81   -6178405.68   -1051518.30   AAAA201
1146728.42   -6187192.88   -996643.98   AAAA202
1148269.70   -6195508.90   -941693.76   AAAA203
1149723.54   -6203353.11   -886671.83   AAAA204
1151089.82   -6210724.92   -831582.37   AAAA205
1152368.45   -6217623.75   -776429.59   AAAA206
1153559.31   -6224049.08   -721217.67   AAAA207
1154662.33   -6230000.43   -665950.84   AAAA208
1155677.42   -6235477.34   -610633.29   AAAA209
1156604.49   -6240479.40   -555269.24   AAAA210
1157443.49   -6245006.22   -499862.90   AAAA211
1158194.34   -6249057.45   -444418.49   AAAA212
1158856.99   -6252632.80   -388940.25   AAAA213
1159431.39   -6255731.99   -333432.38   AAAA214
1159917.50   -6258354.77   -277899.12   AAAA215
1160315.27   -6260500.96   -222344.69   AAAA216
1160624.68   -6262170.39   -166773.34   AAAA217
1160845.70   -6263362.93   -111189.28   AAAA218
1160978.32   -6264078.49    -55596.76   AAAA219
 697264.82   -3587116.51   -5218817.67   AAAA220
 705928.13   -3631685.38   -5186729.97   AAAA221
 714537.68   -3675977.69   -5154247.27   AAAA222
 723092.82   -3719990.06   -5121372.06   AAAA223
